grn,substance,notifier,closure_date,outcome
586,Taurine,Intertek Scientific & Regulatory Consultancy,12/09/2015,no questions
587,Acetolactate decarboxylase from Bacillus brevis produced in Bacillus licheniformis,"Novozymes North America, Inc.",09/08/2015,no questions
588,Zeaxanthin from Capsicum annum (paprika),OmniActive Health Technologies Ltd,02/29/2016,no questions
589,Xylanase from Aspergillus niger,DSM Food Specialties,09/17/2015,no questions
590,Pyrroloquinoline quinone,"Nascent Health Sciences, LLC",01/18/2016,withdrawn
591,Streptococcus salivarius K12,BLIS Technologies Ltd.,01/25/2016,no questions
592,β-glucanase from Bacillus subtilis,"Danisco US Inc., 925 Page Mill Road, Palo Alto, CA",10/07/2015,no questions
593,Colicin preparations,Nomad Bioscience GmbH,12/18/2015,no questions
594,α-amylase from Geobacillus stearothermophilus produced in Bacillus licheniformis,Danisco US Inc.,12/18/2015,no questions
595,gamma -aminobutyric acid,"Pharma Foods International Co., LTD.",11/10/2015,withdrawn
596,Breadfruit flour,PlantSMART Labs,02/21/2016,no questions
597,Bacillus coagulans SNZ1969 spore preparation,Sanzyme Limited,02/29/2016,no questions
598,Thermolysin enzyme preparation derived from Geobacillus stearothermophilus,"Amano Enzyme, Inc.",02/29/2016,no questions
599,Citrus fiber,"Cargill, Inc.",02/17/2016,no questions
600,Hydroxytyrosol,Seprox Biotech S.L,05/13/2016,no questions
601,Preparation of Bacillus coagulans strain MTCC 5856 spores,Sabinsa Corporation,04/28/2016,no questions
602,N-acetyl-D-neuraminic acid,Glycom A/S,02/01/2016,no questions
603,"Preparation containing the bacterial monophages, BP-63 and BP-12, specific to Salmonella",Phagelux,07/28/2016,no questions
604,Baker's Yeast ( Saccharomyces cerevisiae ) expressing asparaginase II,Renaissance BioScience Corporation,04/27/2016,no questions
605,Fructo-oligosaccharides,Tata Chemicals Limited,03/17/2016,no questions
606,Vinyl acetate-vinyl laurate copolymers,"Thomas Wimmer, PhD",05/27/2016,no questions
607,Glucosylated steviol glycosides (minimum purity 80%),PureCircle Limited,10/14/2016,no questions
608,Pea protein concentrate,,05/27/2016,no questions
611,"Fractionated whey protein isolate containing cows milk derived lactoferrin, lactoperoxidase, and transforming growth factor β2",Armor Protéines S.A.S,04/15/2016,withdrawn
612,"Fractionated whey protein isolate containing cows milk derived lactoferrin, lactoperoxidase, and transforming growth factor β2",Armor Protéines S.A.S,05/19/2016,withdrawn
614,Chromium polynicotinate,"Exponent, Inc.",04/12/2016,no questions
615,High-amylose cornstarch,"Yale University, Yale School of Medicine",06/24/2016,no questions
616,High-amylose cornstarch acetate,"Yale University, Yale School of Medicine",06/24/2016,no questions
617,α-amylase from Cytophaga sp. produced in Bacillus licheniformis,Danisco US Inc. (DuPont Industrial Biosciences),04/08/2016,withdrawn
618,Purified seawater,"Seawater Solutions, Inc.",05/27/2016,no questions
619,Purified steviol glycosides,PureCircle Ltd.,05/27/2016,no questions
620,Galacto-oligosaccharides,Nestle Nutrition,07/21/2016,no questions
621,Emulsified algal oil,"MyCell Technologies, LLC",05/13/2016,withdrawn
622,Emulsified fish oil,"MyCell Technologies, LLC",05/13/2016,withdrawn
623,Fructooligosaccharides,Hank Tsai,08/01/2016,no questions
624,D-allulose 3-epimerase from Arthrobacter globiformis M30 produced in Escherichia coli,Matsutani Chemical Industry Co. Ltd,08/18/2016,no questions
625,Pyrroloquinoline quinone disodium salt,"Nascent Health Sciences, LLC",08/18/2016,no questions
626,Steviol glycosides produced in Saccharomyces cerevisiae,"Cargill, Inc.",05/27/2016,no questions
627,Siraitia grosvenorii Swingle (Luo Han Guo) fruit juice concentrate,"JHeimbach, LLC",10/11/2016,no questions
628,"endo-1,4-beta-xylanase from Trichoderma reesei",AB Enzymes GmbH,09/14/2016,no questions
630,"Preparation containing the bacterial monophages, Fo1a and S16, specific to Salmonella",Micreos B.V.,05/17/2016,withdrawn
631,Triacylglycerol lipase from Fusarium oxysporum produced in Trichoderma reesei,AB Enzymes GmbH,07/18/2016,no questions
632,Rebaudioside A from Yarrowia lipolytica,"DSM Nutritional Products, LLC",06/24/2016,no questions
633,Concentrated milk protein with a ≥ 60:40 whey:casein ratio,Leprino Foods Company,09/21/2016,no questions
634,Calcium chloride,"PepsiCo, Inc.",08/08/2016,no questions
635,Nicotinamide riboside chloride,"ChromaDex, Inc.",08/03/2016,no questions
636,Phosphatidylserine derived from sunflower lecithin,"ECA Healthcare, Inc.",07/01/2016,withdrawn
637,Phosphatidylserine derived from soy lecithin,"ECA Healthcare, Inc.",08/04/2016,withdrawn
638,High purity steviol glycosides (minimum purity 97%) consisting primarily of rebaudioside A,Hunan Huacheng Biotech Inc.,07/10/2016,no questions
639,Zeaxanthin from marigold,"Kemin Foods, L. C.",09/28/2016,no questions
640,Esterified propoxylated glycerol,"Choco Finesse, LLC",09/21/2016,no questions
641,Pyrroloquinoline quinone disodium salt,Zhejiang Hisun Pharmaceutical Co. Ltd.,10/14/2016,no questions
642,Camelina oil,"CamStar, Inc",10/12/2016,no questions
643,Phosphatidylserine derived from fish,"ECA Healthcare, Inc.",07/01/2016,withdrawn
645,Pullulanase from Bacillus deramificans and Bacillus acidopullulyticus expressed in Bacillus licheniformis,"Novozymes North America, Inc.",11/01/2016,no questions
646,Pecan shell fiber,Southeastern Reduction Company,10/12/2016,no questions
647,D-psicose,Samyang Corporation,10/11/2016,withdrawn
649,β-galactosidase enzyme preparation from Bacillus circulans produced in Bacillus subtilis,"GenoFocus, Inc.",11/28/2016,no questions
651,Phospholipase A1 from Talaromyces leycettanus produced in Aspergillus niger,"Novozymes North America, Inc.",11/23/2016,no questions
652,Gamma linolenic acid safflower oil,"Arcadia Biosciences, Inc.",12/16/2016,no questions
653,Lysophospholipase from Aspergillus nishimurae expressed in Trichoderma reesei.,AB Enzymes GmbH,10/13/2016,no questions
654,Cocoa butter substitute manufactured using palm oil stearin and stearic acid,"IOI Loders Croklaan, USA, LLC",12/19/2016,no questions
656,Enzyme-modified steviol glycosides,GLG Life Tech Corporation,09/28/2016,no questions
657,Glucoamylase from Penicillum oxalicum produced in Aspergillus niger,Novozymes,11/23/2016,no questions
658,Grapefruit extract,Chemie Research and Manufacturing,09/28/2016,withdrawn
660,"Bacillus coagulans GBI-30, 6086 spores","Ganeden Biotech, Inc.",01/13/2017,no questions
661,Fucoidan concentrate from Fucus vesiculosus,Marinova Pty. Ltd.,02/10/2017,no questions
662,Glucosylated steviol glycosides (minimum purity 95%),PureCircle USA,09/29/2016,no questions
664,Alpha-amylase from Cytophaga sp. expressed in Bacillus licheniformis,Dupont,01/31/2017,no questions
665,Lactoperoxidase system,Taradon Laboratory,12/14/2016,withdrawn
666,Chondroitin sulfate sodium,Gnosis S.P.A.,03/15/2017,no questions
667,Rebaudioside M,Blue California,02/17/2017,no questions
668,Sodium formate,International Food Additives Council,03/09/2017,no questions
669,Cows milk-derived lactoferrin,Synlait Milk Ltd,03/09/2017,no questions
670,"Inactivated Bacillus coagulans GBI-30, 6086","Ganeden, Inc.",03/15/2017,no questions
672,Preparation containing five bacterial monophages specific to Shigella spp.,"Intralytix, Inc.",03/27/2017,no questions
673,Algal fat derived from Prototheca moriformis (S7737),"TerraVia Holdings (Previously Solazyme, Inc.)",03/27/2017,no questions
674,Isomalto-oligosaccharides,BioNeutra North America Inc.,07/05/2017,no questions
675,Xylanase enzyme preparation produced by Trichoderma reesei carrying a xylanase gene from Talaromyces leycettanus,Novozymes,04/06/2017,no questions
676,Colicin preparations,Nomad BioScience GmbH,05/15/2017,no questions
677,Docosahexaenoic acid oil produced in Schizochytrium sp.,Mara Renewables Corporation,05/02/2017,no questions
678,Alpha-cyclodextrin,Wacker Chemical Corporation,04/14/2017,withdrawn
679,Orange juice desugared by fermentation,Sumol + Compal Marcas S.A.,05/10/2017,no questions
680,Alpha-L-arabinofuranosidase from Talaromyces pinophilus produced by Trichoderma reesei,Novozymes North America,05/24/2017,no questions
681,Dried isomaltulose syrup,Evonik Creavis GmbH,06/21/2017,no questions
682,Canola lecithin,Cargill,07/07/2017,no questions
683,Canola protein isolate,"DSM Nutritional Products, LLC",05/10/2017,no questions
684,Mung bean protein isolate,"Hampton Creek, Inc.",08/04/2017,no questions
685,Lactobacillus plantarum strain 299v,Probi AB,10/31/2017,no questions
686,Curcumin from turmeric ( Curcuma longa L.),"DolCas Biotech, LLC",07/11/2017,no questions
689,Phospholipase C from Bacillus thuringiensis produced in Bacillus licheniformis,Novozymes,08/04/2017,no questions
690,Fruit and vegetable vitamin extract,Hogan Lovells US LLP,08/01/2017,withdrawn
691,Bacillus coagulans SANK 70258 spore preparation,Mitsubishi-Kagaku Foods Corporation,08/28/2017,no questions
693,D-psicose,Samyang Corporation,08/28/2017,no questions
694,Pyrroloquinoline quinone disodium salt (PQQ),Fuzhou Contay,09/28/2017,no questions
697,Dried biomass of Euglena gracilis,"Kemin Foods, L.C.",07/19/2017,withdrawn
698,Paramylon isolate from Euglena gracilis,"Kemin Foods, L.C.",07/19/2017,withdrawn
699,Trehalase from Myceliophthora sepedonium produced by Aspergillus niger,"Novozymes North America, Inc.",11/13/2017,no questions
700,Paracoccus carotinifaciens extract containing carotenoids,JX Nippon Oil & Energy Corporation,10/23/2017,no questions
701,Pyrroloquinoline quinone disodium salt,"Nutraland USA, Inc.",09/08/2017,no questions
702,Purified steviol glycosides,"Xinghua GL Stevia Co., Ltd.",09/28/2017,no questions
703,Alpha-glucosidase from Aspergillus niger produced by Trichoderma reesi,Danisco US Inc. (DuPont Industrial Biosciences),11/09/2017,no questions
704,Corn oil (by-product of ethanol production),"CoPack Strategies, LLC",10/10/2017,withdrawn
707,Glucose oxidase from Penicillium produced in Trichoderma reesei,AB Enzymes GmbH,11/24/2017,no questions
708,Triacylglycerol lipase from Rhizopus oryzae produced in Aspergillus niger,Advanced Enzyme Technologies Ltd.,10/10/2017,withdrawn
709,Pyrroloquinoline quinone disodium salt,"Shandong Jincheng Bio-Pharmaceutical Co., Ltd.",03/06/2018,no questions
710,Basic methacrylate copolymer,Ramboll Environ,12/08/2017,withdrawn
711,Glucan,"Nihon Shokuhin Kako Co., Ltd.",12/26/2017,no questions
713,Hydrolyzed pork cartilage,Rousselot BVBA; Darling Ingredients,04/05/2018,no questions
714,Subtilisin from Bacillus amyloliquefaciens produced in Bacillus subtilis,Danisco US Inc. (Dupont Industrial Biosciences),02/06/2018,no questions
715,Rebaudioside D,Blue California,10/24/2017,no questions
716,Bovine milk osteopontin,Arla Foods Ingredients Group P/S,02/01/2018,withdrawn
718,Calcium acid pyrophosphate,Chemische Fabrik Budenheim KG,10/17/2017,withdrawn
719,Orange pomace and enzyme-treated orange pomace,"PepsiCo, Inc.",12/26/2017,no questions
722,Lactobacillus plantarum Lp-115,Dupont Nutrition & Health,02/16/2018,no questions
723,Benzalkonium chloride,"Marvel Technologies USA, LLC",12/18/2017,withdrawn
724,Preparation containing six bacterial phages specific to shiga-toxin producing Escherichia coli,FINK TEC GmbH,04/10/2018,no questions
725,"Inactivated Bacillus coagulans GBI-30, 6086","Ganeden Biotech, Inc.",02/12/2018,no questions
726,Phenolic preparation from olive fruit,"DSM Nutritional Products, LLC.",02/28/2018,no questions
727,Trehalase from Trichoderma reesei produced in Trichoderma reesei,Danisco US Inc. (Dupont Industrial Biosciences),03/05/2018,no questions
728,Phospholipase C from Pseudomonas sp. 62186 produced in Bacillus licheniformis,"Novozymes North America, Inc.",11/13/2017,no questions
729,Galacto-oligosaccharides,"Neo Cremar, Co., Ltd.",03/27/2018,no questions
731,Docosahexaenoic acid oil produced in Schizochytrium sp.,"Linyi Youkang Biology Co., Ltd.",04/06/2018,no questions
732,Docosahexaenoic acid oil produced in Schizochytrium sp.,"Linyi Youkang Biology Co, Ltd.",04/06/2018,no questions
733,Purified steviol glycosides,Shangdong Shengxiangyuan Biotechnology,01/09/2018,no questions
734,Ergothioneine,Blue California,05/07/2018,no questions
736,Lactobacillus casei subsp. paracasei Lpc-37,DuPont Nutrition and Health,04/11/2018,no questions
737,Soy leghemoglobin preparation from a strain of Pichia pastoris,Impossible Foods Inc.,07/23/2018,no questions
738,Thaumatin,Nomad Bioscience GmbH,04/18/2018,no questions
739,Mannanase enzyme from Talaromyces leycettanus produced in Aspergillus niger,"Novozymes North America, Inc.",04/25/2018,no questions
742,Duckweed (subfamily Lemnoideae) powder,Parabel Ltd.,08/22/2018,no questions
743,β-galactosidase from Papiliotrema terrestris,"Amano Enzyme, Inc.",06/01/2018,no questions
744,Steviol glycosides consisting primarily of rebaudioside M,PureCircle Limited,03/23/2018,no questions
745,Steviol glycosides consisting primarily of rebaudioside M,PureCircle Limited,04/20/2018,no questions
746,Maltogenic amylase from Geobacillus stearothermophilus produced in Bacillus subtilis,AB Enzymes,06/13/2018,no questions
747,Calcium lactate,"PepsiCo, Inc.",06/01/2018,no questions
748,Tomato powder,IBR LTD,04/19/2018,withdrawn
749,2'-O-fucosyllactose,DuPont Nutrition & Health,04/23/2018,no questions
750,Beta-glucosidase from Aspergillus niger,DSM Food Specialties,10/02/2018,no questions
754,Algal oil (87% oleic acid) derived from Prototheca moriformis strain S6697,"Corbion Biotech, Inc.",07/23/2018,no questions
756,"Endo-1,4-beta-glucanase from Trichoderma reesei",AB Enzymes GmbH,09/12/2018,no questions
758,"Lactobacillus helveticus R0052, Bifidobacterium longum subsp. infantis R0033, and Bifidobacterium bifidum R0071",Lallemand Health Solutions,08/20/2018,no questions
759,Steviol glycosides consisting primarily of rebaudioside M produced in Yarrowia lipolytica,DSM Food Specialties / DSM Nutritional Products North America,05/25/2018,no questions
760,Lactobacillus curvatus DSM 18775,Chr. Hansen Inc.,01/29/2019,no questions
761,Esterified propoxylated glycerol,"Choco Finesse, LLC",05/25/2018,no questions
762,Carnobacterium divergens M35 preparation,"Fumoir Grizzly, Inc.",08/14/2018,withdrawn
763,Alpha-lactalbumin,"Agropur, Inc.",12/10/2018,no questions
764,Rebaudioside D,"Sichuan Ingia Biosynthetic Co., Ltd.",07/10/2018,no questions
766,3'-sialyllactose sodium salt,"GeneChem, Inc.",09/26/2018,no questions
767,Polyvinyl alcohol,MonoSol LLC,09/07/2018,no questions
768,Stevia leaf extract,"Cargill, Inc.",08/13/2018,no questions
769,Vitamin C (fruit and vegetable derived),NutriFusion LLC,10/23/2018,no questions
770,Potassium polyaspartate,"Enartis USA, Inc.",09/11/2018,no questions
772,Palmitoylated green tea catechins,"Kemin Industries, Inc.",12/13/2018,no questions
773,Dried biomass of Chlamydomonas reinhardtii,Triton Algae Innovations,02/22/2019,no questions
774,Glutaminase from Bacillus licheniformis produced in Bacillus licheniformis,"Novozymes North America, Inc.",11/26/2018,no questions
775,Colicin preparations,Nomad Bioscience GmbH,10/26/2018,no questions
776,Algal oil (35% docosahexaenoic acid) from Schizochytrium sp. strain FCC-1324,Fermentalg,10/26/2018,no questions
777,Algal oil (55% docosahexaenoic acid) from Schizochytrium sp. strain FCC-3204,Fermentalg,10/26/2018,no questions
779,Isomalto-oligosaccharide mixture,"Baolingbao Biology Co., Ltd.",10/19/2018,no questions
780,Rebaudioside M,Tate and Lyle,07/31/2018,no questions
781,Alpha-tocopherol (fruit and vegetable derived),NutriFusion LLC,11/05/2018,no questions
782,L-arabinose,"Sensus America, Inc.",08/29/2018,withdrawn
783,Triacylglycerol lipase from Rhizopus oryzae produced in Aspergillus niger,Advanced Enzyme Technologies Ltd,12/20/2018,no questions
784,Siraitia grosvenorii Swingle (Luo Han Guo) fruit juice concentrate,"Hunan Huacheng Biotech, Inc.",11/20/2018,no questions
785,Calcium chloride,"Wonderful Citrus, LLC",11/20/2018,no questions
786,Calcium propionate,"Wonderful Citrus, LLC",11/20/2018,no questions
788,Pea protein concentrate,"Yantai Oriental Protein Tech Co., Ltd.",10/12/2018,no questions
789,Erythritol,"Cargill, Inc.",02/20/2019,no questions
790,Steviol glycosides (minimum purity 95%),GLG Life Tech Corporation,02/26/2019,no questions
792,Cultured corn starch fermented by Corynebacterium glutamicum,"Nestec, S.A. (Nestle)",04/26/2019,no questions
793,Cultured corn starch fermented by Corynebacterium stationis,"Nestec, S.A. (Nestle)",04/26/2019,no questions
794,"Shiitake, pea, and rice protein fermented with Lentinula edodes",MycoTechnology Inc.,11/09/2018,withdrawn
795,Purified steviol glycosides,Steviana Bioscience (Suzhou) Inc.,09/25/2018,no questions
796,Orange extract (85% hesperidin),Ferrer HealthTech,02/20/2019,no questions
797,Fructooligosaccharides,New Francisco (Yunfu City) Biotechnology Corporation,11/15/2018,no questions
798,Saccharomyces cerevisiae strain yBBS002,"Berkeley Brewing Science, Inc.",08/13/2019,no questions
799,Rebaudioside M,"Sichuan Ingia Biosynthetic Co., Ltd.",09/25/2018,no questions
800,gamma-oryzanol,"Oryza Oil and Fat Chemical Co., Ltd.",03/08/2019,no questions
801,Chymosin enzyme from Camelus dromedarius produced in Aspergillus niger,Chr. Hansen Inc.,06/06/2019,no questions
802,Endolysin,Nomad BioScience GmbH,05/10/2019,no questions
803,Pea protein,Ingredion Incorporated and Shandong Jianyuan Bioengineering Co. Ltd.,11/08/2019,no questions
804,Pea protein,Burcon NutraScience Corporation,11/08/2019,no questions
807,Streptococcus salivarius M18,BLIS Technologies Ltd.,04/18/2019,no questions
808,Lipase from Aspergillus tubingensis produced in Trichoderma reesei,Danisco US Inc. (Dupont Industrial Biosciences),05/28/2019,no questions
809,Fractionated whey protein concentrate containing 41% alpha-lactalbumin,Arla Foods Ingredients P/S,05/06/2019,no questions
810,Lactobacillus paracasei subsp. paracasei strain F-19e,Arla Foods Ingredients Group P/S,04/05/2019,no questions
811,Phospholipase A1 produced by Aspergillus oryzae,Novozymes NA,07/19/2019,no questions
812,Rebaudioside M,"Amyris, Inc.",12/08/2018,no questions
813,Bifidobacterium longum BORI,"BIFICO CO., LTD",06/21/2019,no questions
814,Bifidobacterium bifidum BGN4,"BIFICO CO., LTD",06/25/2019,no questions
815,2'-fucosyllactose and difucosyllactose,Glycom A/S,08/20/2019,no questions
816,Xylooligosaccharides from sugarcane,"Prenexus Health, Inc.",04/29/2019,no questions
817,Serine endopeptidase from Malbranchea cinnamomea produced in Trichoderma reesei,AB Enzymes GmbH,08/26/2019,no questions
818,Isomalto-oligosaccharides,"Ingredion, Inc.",12/18/2019,no questions
819,Fatty acid ethyl esters from Alaskan Pollock,Organic Technologies,09/03/2019,no questions
820,Lactobacillus fermentum CECT5716,"Biosearch, S.A.",04/03/2019,withdrawn
821,Glucosylated steviol glycosides,Haigen-BGG Natural Ingredients Limited,05/07/2019,no questions
822,Curcumin,Laurus Labs Private Ltd.,06/04/2019,no questions
823,Rebaudioside E,Blue California,06/21/2019,no questions
824,Bacteriocin preparations specific to Salmonella,Nomad BioScience GmbH,10/21/2019,no questions
825,Beta-galactosidase from Kluyveromyces lactis,DSM Food Specialties,11/07/2019,no questions
827,Preparation containing three bacterial phages specific to several Escherichia coli serotypes,OmniLytics,08/12/2019,no questions
830,Chicory flour,"Blue Prairie Brands, Inc.",05/22/2019,withdrawn
831,Bacillus subtilis DE111,Deerland Probiotics and Enzymes,08/13/2019,no questions
832,Acid prolyl endopeptidase produced by Aspergillus niger,DSM Food Specialties B.V.,12/09/2019,no questions
833,Lacto- N -tetraose,Glycom A/S,10/07/2019,no questions
835,Ilex guayusa leaf extract,"Applied Food Sciences, Inc.",05/22/2019,withdrawn
836,Algal oil (50-60% docosahexaenoic acid) from Schizochytrium sp. HS01,"Xiamen Huison Biotech Co., LTD",09/03/2019,no questions
838,Purified steviol glycosides,"Jiang Su Svetia Biotechnology Co., Ltd.",07/12/2019,no questions
839,Purified steviol glycosides,Sinochem Health Company Ltd.,07/08/2019,no questions
840,Lactobacillus paracasei strain F19,Arla Foods Ingredients Group P/S,08/27/2019,no questions
841,Saccharomyces cerevisiae expressing L-lactate dehydrogenase from Rhizopus oryzae,Mascoma LLC,03/10/2020,no questions
842,Maltogenic alpha-amylase,Mascoma LLC,01/21/2020,no questions
843,Algal oil (35% docosahexaenoic acid) from Schizochytrium sp. strain FCC-1324,Fermentalg,10/18/2019,no questions
844,Algal oil (55% docosahexaenoic acid) from Schizochytrium sp. strain FCC-3204,Fermentalg,10/18/2019,no questions
845,Lactobacillus rhamnosus LGG,"Chr. Hansen, Inc.",10/30/2019,withdrawn
846,Rebaudioside M,GLG Life Tech Corporation,08/23/2019,no questions
847,Lactobacillus plantarum ECGC 13110402,ProBiotix Health Ltd.,09/30/2019,no questions
848,Pea and rice protein fermented by shiitake mycelia,"Myco Technology, Inc.",01/09/2020,no questions
849,Inulin from artichoke,"Intrinsic Organics, LLC",10/30/2019,no questions
850,Olein from shea tree nut extract,BUNGE Loders Croklaan BV,03/20/2020,no questions
851,Pea protein,Roquette Freres,04/15/2020,no questions
852,2'-fucosyllactose,BASF SE,11/15/2019,no questions
853,Lysozyme produced by Trichoderma reesei,Novozymes NA,05/27/2020,no questions
854,Agave mixed fructans from Agave tequilana,IIDEA (Industrializadora Integral del Agave SA de CV),01/21/2020,no questions
855,Bifidobacterium animalis subsp. lactis strain R0421,Lallemand Health Solutions,02/05/2020,no questions
856,Bifidobacterium animalis subsp. lactis strain BB-12,"Chr. Hansen, Inc.",12/09/2019,no questions
857,Phospholipase A1 produced by Aspergillus niger,DSM Food Specialties,12/20/2019,no questions
858,Glucosylated steviol glycosides,"Qufu Shengren Pharmaceutical Co., Ltd",10/04/2019,no questions
861,Pullulanase from Bacillus deramificans produced in Bacillus subtilis,GenScript/Bestzyme,07/21/2020,no questions
862,Algal oil (40% docosahexaenoic acid) from Schizochytrium sp. strain ONC-T18,BASF Corporation,06/15/2020,no questions
863,β-lactoglobulin produced by Trichoderma reesei,"Perfect Day, Inc.",03/25/2020,no questions
864,Bacillus coagulans SNZ 1969 spore preparation,Sanzyme Biologics Pvt. Ltd.,02/06/2020,no questions
865,Lactobacillus acidophilus NCFM,"Dupont Nutrition and Biosciences (Danisco USA, Inc.)",03/10/2020,no questions
868,Coffee fruit extract,"VDF FutureCeuticals, Inc.",03/24/2020,no questions
869,Ilex guayusa leaf aqueous extract,"Applied Food Sciences, Inc.",03/20/2020,no questions
870,Ilex guayusa leaf hydroethanolic extract,"Applied Food Sciences, Inc.",03/20/2020,no questions
871,Lactobacillus acidophilus DDS-1,"UAS Laboratories, LLC",10/23/2019,no questions
872,Bifidobacterium animalis subsp. lactis UABla-12,"UAS Laboratories, LLC",12/09/2019,no questions
873,Cranberry extract,"Ocean Spray Cranberries, Inc.",05/06/2020,no questions
875,Bifidobacterium animalis subsp. lactis AD011,"BIFIDO CO., LTD.",10/30/2019,withdrawn
877,Bifidobacterium longum BB536,"Morinaga Milk Industry Co., Ltd.",12/26/2019,no questions
879,Fava bean protein isolate,"Yantai T.FULL Biotech Co., Ltd",03/23/2020,no questions
880,3'-sialyllactose sodium salt,Glycom A/S,02/21/2020,no questions
881,6'-sialyllactose sodium salt,Glycom A/S,02/24/2020,no questions
883,Ilex guayusa leaf aqueous extract,All Market Inc.,04/28/2020,no questions
884,Rice bran extract,"Florida Food Products, LLC",08/19/2020,no questions
885,Vinyl acetate-vinyl laurate copolymer,Wacker Chemie AG,04/22/2020,no questions
887,Menaquinone-7,Synergia Life Sciences Pvt. Ltd.,06/12/2020,no questions
889,Spermidine rich wheat germ extract,TLL The Longevity Labs GmbH,03/20/2020,withdrawn
891,Cellulase produced by Trichoderma reesei,Novozymes North America Inc.,10/20/2020,no questions
893,D-psicose,Tate & Lyle,06/05/2020,withdrawn
894,White mulberry leaf extract,Phynova Group Limited,11/19/2020,withdrawn
895,Lacto- N -neotetraose,Glycom A/S,12/03/2020,no questions
896,Alpha-galacto-oligosaccharides,Olygose,09/18/2020,no questions
897,2'- O -fucosyllactose,DuPont Nutrition and Health,06/12/2020,no questions
898,Anhydrous milk fat,Hogan Lovells US LLP,10/28/2020,no questions
899,Citric acid esters of mono- and diglycerides,Hogan Lovells US LLP,10/30/2020,no questions
900,Corn oil,Hogan Lovells US LLP,10/30/2020,no questions
901,Glucosyl hesperidin,"Hayashibara Co., Ltd.",11/09/2020,no questions
902,Neohesperidin dihydrochalcone,"HealthTech BioActives, S.L.U.",11/23/2020,no questions
903,Quillaia extract type 2,Naturex SA,04/21/2021,no questions
904,Fungal protein from fermented Fusarium sp. mycelia,Natures Fynd,03/26/2021,no questions
905,Bacillus subtilis SG188,SporeGen Ltd,06/08/2020,no questions
906,Wheat seed polar lipids,SEPPIC Air Liquide Healthcare,08/24/2020,no questions
907,Wheat seed oil,SEPPIC Air Liquide Healthcare,08/21/2020,no questions
910,Thaumatin II,Nomad BioScience GmbH,09/09/2020,no questions
911,Rebaudioside I,Blue California,06/08/2021,no questions
912,Trehalose,c-LEcta GmbH,10/01/2021,withdrawn
913,Algal oil (minimum 35% DHA),Mara Renewables Corporation,11/10/2020,no questions
914,Alpha-linolenic acid diacylglycerol,Kao Corporation,03/15/2021,no questions
915,Calcium L-methylfolate,DSM Nutritional Products,02/23/2021,no questions
918,Partially defatted almond protein flour,Blue Diamond Growers,07/07/2021,no questions
919,Lacto- N -neotetraose,Jennewein Biotechnologie GmgH,10/30/2020,no questions
920,Thaumatin II,Nomad BioScience GmbH,11/24/2020,no questions
921,3'-sialyllactose sodium salt,Jennewein Biotechnologie GmgH,10/30/2020,no questions
922,6'-sialyllactose sodium salt,Jennewein Biotechnologie GmgH,04/23/2021,no questions
923,Lacto- N -tetraose,Jennewein Biotechnologie GmgH,02/02/2021,no questions
924,2'-fucosyllactose,Jennewein Biotechnologie GmbH,11/23/2020,withdrawn
925,3-fucosyllactose,Jennewein Biotechnologie GmgH,02/08/2021,no questions
927,Polyvinyl alcohol,Adept Limited,02/26/2021,no questions
928,Dried Saccharomyces cerevisiae yeast fermentate,"Cargill, Inc.",05/14/2021,no questions
929,2'-fucosyllactose,Jennewein Biotechnologie GmbH,02/26/2021,no questions
931,Creatine monohydrate,AlzChem Trostberg GmbH,11/12/2020,no questions
936,Leuconostoc carnosum DSM 32756,"Chr. Hansen, Inc.",04/19/2021,no questions
937,Staphylococcus carnosus DSM 25010,"Chr. Hansen, Inc.",04/21/2021,no questions
938,Pichia kluyveri DSM 33235,"Chr. Hansen, Inc.",04/14/2021,no questions
940,Phospholipase A2 enzyme from Sus scrofa (wild pig) produced by Yarrowia lipolytica,Biocatalysts Limited,05/12/2021,no questions
941,Oat polar lipid extract,Swedish Oat Fiber,06/11/2021,withdrawn
942,Whey permeate,"ProLiant Dairy, LLC",12/21/2020,withdrawn
944,Rice protein hydrolysate,BASF Corporation,10/08/2021,no questions
945,Fungal protein from Fusarium sp. mycelia,3F BIO Limited,04/22/2022,no questions
946,Lactobacillus plantarum strain DSM 33452,"Chr. Hansen, Inc.",02/05/2021,no questions
947,Cacao pulp and cacao fruit juice concentrate,CABOSSE Naturals NV,12/21/2021,no questions
948,Enzyme-treated pea protein,"Yantai Oriental Protein Tech Co., Ltd.",09/09/2021,no questions
949,Bacillus coagulans strain DSM 17654 spore preparation,Advanced Enzymes Technologies Ltd.,01/07/2021,no questions
950,Bifidobacterium longum subsp. infantis DSM 33361,"Chr. Hansen, Inc.",03/01/2021,no questions
951,3-fucosyllactose,"Danisco, USA",08/12/2021,no questions
952,Bifidobacterium animalis subsp. lactis strain AD011,"BIFIDO Co., Ltd.",03/17/2021,no questions
953,"Lactobacillus plantarum strain CECT 7527, CECT 7528, and CECT 7529","Kaneka Americas Holding, Inc",02/05/2021,no questions
954,Fibrillated cellulose,"Vireo Advisors, LLC",06/10/2021,withdrawn
956,Bacillus subtilis ATCC SD-7280,Advanced Enzyme Technologies Ltd.,08/18/2021,no questions
957,Lactobacillus johnsonii strain ATCC PTA-124205,"Prozure, Inc.",10/26/2021,no questions
