grn,substance,notifier,closure_date,outcome
188,Carbon monoxide,"Tyson Foods, Inc.",11/05/2008,withdrawn
189,Lactoferrin (human) purified from bovine milk,"Pharming Group, N.V.",12/10/2009,withdrawn
190,Hydroxypropyl methylcellulose,The Dow Chemical Company,04/06/2006,withdrawn
191,Human lysozyme purified from rice,Ventria Bioscience,03/12/2010,withdrawn
192,High 2-palmitic vegetable oil,Enzymotec Ltd.,08/03/2006,no questions
193,Fish oil (predominantly sardine and anchovy); tuna oil,Peluva Biotech,08/03/2006,no questions
195,Mixed beta-Glucanase and xylanase enzyme preparation from Humicola insolens,"Novozymes North America, Inc.",09/21/2006,no questions
196,Bovine milk basic protein fraction,"Snow Brand Milk Products Co., Ltd., AND IAS Co., Ltd.",09/01/2006,no questions
197,Phosphatidylserine,Degussa Food Ingredients GmbH,09/20/2006,no questions
198,Bacteriophage P100 preparation from Listeria innocua,EBI Food Safety B.V.,10/17/2006,no questions
199,Concentrated hydrolyzed milk protein,Calpis Co. Ltd.,05/11/2007,no questions
200,Tailored triglycerides enriched in omega-3 fatty acids from fish oil,Twin Rivers Technologies,11/24/2006,no questions
201,Asparaginase enzyme preparation from Aspergillus oryzae expressing the asparaginase gene from A. oryzae,Novozymes North America Inc.,11/24/2006,no questions
202,Polyoxyethanyl-alpha-tocopheryl sebacate (PTS),Zymes LLC,12/06/2006,no questions
203,Erythritol fatty acid esters,Stepan Company,11/15/2006,withdrawn
204,Phospholipase C enzyme preparation from Pichia pastoris expressing a heterologous phospholipase C gene,Diversa Corporation,12/05/2006,no questions
205,Pullulanase enzyme preparation from Bacillus subtilis expressing the pullulanase gene from B. acidopullulyticus,Novozymes North America Inc.,12/04/2006,no questions
206,Phytosterol esters and diglycerides resulting from transesterification of vegetable oils/fats with phytosterols,Enzymotec Ltd.,12/07/2006,no questions
207,Barley fiber,Cargill Inc.,12/19/2006,no questions
208,Erythritol,Mitsubishi Kagaku-Foods Corporation,01/25/2007,no questions
209,L-theanine,"Taiyo International, Inc.",02/05/2007,no questions
210,Water soluble tomato concentrate,Provexis plc,02/08/2007,no questions
211,Xanthan gum (lower pyruvate levels),CP Kelco,04/11/2007,no questions
212,Phospholipase A2 enzyme preparation from Streptomyces violaceruber expressing a gene encoding phospholipase A2 from the same species,Nagase ChemteX Corporation,03/22/2007,no questions
213,Hydroxypropyl methylcellulose - expanded substitution pattern (HPMC-ESP),The Dow Chemical Company,03/27/2007,no questions
214,Asparaginase enzyme preparation from Aspergillus niger expressing the asparaginase gene from A. niger,DSM Food Specialties,03/12/2007,no questions
215,Actinidia arguta extract,"Efficas, Inc.",09/27/2007,no questions
216,Lipase enzyme preparation from Rhizopus oryzae,Amano Enzyme Inc.,05/18/2007,no questions
217,Tailored triglycerides containing approximately 12 percent medium-chain fatty acids,"The Nisshin OilliO Group USA, Inc.",08/20/2007,no questions
218,Bacteriophage P100 preparation from Listeria innocua,EBI Food Safety B.V.,06/22/2007,no questions
219,Ammonium phosphatide,Palsgaard A/S,06/29/2007,no questions
220,alpha-Glycosyl isoquercitrin,"San-Ei Gen F.F.I., Inc.",11/19/2007,no questions
221,Suspended lutein,"Kemin Health, L.C.",10/23/2007,no questions
222,Citric acid esters of mono- and diglycerides,Laboratorios Miret S.A. (LAMIRSA),12/20/2007,no questions
223,Phosphatidylserine,Enzymotec Ltd.,12/20/2007,no questions
224,trans-Resveratrol,"ATLA Holdings, LLC",08/01/2007,withdrawn
225,Catechins from green tea extract,Kao Corporation,11/26/2007,withdrawn
226,Lecithin derived from krill,Enzymotec Ltd.,01/03/2008,no questions
227,Olestra,The Procter & Gamble Company,10/09/2008,no questions
228,Sodium nitrite embedded on one side of a food packaging film at a maximum level of 113 milligrams per square meter,"Bemis Company, Inc",07/26/2010,no questions
229,Methylsulfonylmethane,Bergstrom Nutrition,02/18/2008,no questions
230,Chymosin enzyme preparation from Trichoderma reesei expressing the bovine prochymosin B gene,"Genencor, a Danisco Division",02/19/2008,no questions
231,Lactobacillus casei subsp. rhamnosus strain GG,Mead Johnson & Company,05/29/2008,no questions
232,Conjugated linoleic acid isomers,Lipid Nutrition B.V. and Cognis GmbH,07/11/2008,no questions
233,Combination of galacto-oligosaccharides and polydextrose,Mead Johnson & Company,09/04/2009,no questions
234,Bovine globulin,Proliant Health Ingredients Inc.,02/14/2008,withdrawn
235,Human lactoferrin purified from rice,Ventria BioScience,03/12/2010,withdrawn
238,Lipase enzyme preparation derived from Hansenula polymorpha expressing a gene encoding a lipase from Fusarium heterosporum,"Genencor, a Danisco Division",07/28/2008,no questions
240,"Corn, cane, or beet sugar cultured with Lactobacillus paracasei subsp. paracasei , Bacillus coagulans LA-1, or Propionibacterium freudenreichii subsp. shermanii , or mixtures of these microorganisms",PURAC,10/24/2008,no questions
241,High-selenium yeast,"Cypress Systems, Inc.",04/09/2008,withdrawn
242,Krill oil,Neptune Technologies and Bioressources,10/14/2008,no questions
243,D-Ribose,"Bioenergy, Inc.",11/10/2008,no questions
244,Glutathione,"Kohjin Co., Ltd.",05/09/2008,withdrawn
245,Menaquinone-7,NattoPharma ASA,06/02/2008,withdrawn
246,Isomalto-oligosaccharide mixture,BioNeutra Inc.,02/10/2009,no questions
247,Modified gum acacia,"TIC Gums, Inc.",10/07/2008,no questions
248,"Sucrose fatty acid esters (i.e., sucrose monoesters of lauric acid, palmitic acid, and stearic acid) manufactured by reaction of sucrose with vinyl esters of lauric, palmitic, and stearic acids",Compass Foods Pte Ltd,10/24/2008,no questions
249,Synthetic dihydrocapsiate,SRA International Inc.,03/09/2009,no questions
250,Plant sterols and stanols from pine trees,Arboris LLC,02/09/2009,no questions
251,Carbon monoxide,Vincent Mercogliano,01/25/2012,no questions
252,Rebaudioside A purified from Stevia rebaudiana (Bertoni) Bertoni,Whole Earth Sweetener Company LLC (a wholly owned subsidiary of Merisant Company),12/17/2008,no questions
253,Rebaudioside A purified from Stevia rebaudiana (Bertoni) Bertoni,"Cargill, Inc.",12/17/2008,no questions
254,Lactobacillus reuteri strain DSM 17938,BioGaia AB,11/18/2008,no questions
255,Bovine globulin,"Proliant Health Ingredients, Inc.",12/24/2008,no questions
256,High linolenic acid flaxseed oil,"Polar Foods, Inc.",01/16/2009,no questions
257,gamma -Amino butyric acid,"Pharma Foods International Co., Ltd.",12/22/2008,withdrawn
258,Sucromalt,"Cargill, Inc.",02/03/2009,no questions
259,Catechins from green tea extract,Kao Corporation,08/21/2009,withdrawn
260,High-selenium yeast,"Cypress Systems, Inc.",03/09/2009,no questions
261,Oat hull fiber,"Grain Millers, Inc.",02/03/2009,no questions
262,Sweet lupin protein,George Weston Foods Ltd.,12/16/2008,withdrawn
263,Sweet lupin fiber,George Weston Foods Ltd.,12/16/2008,withdrawn
264,Sweet lupin flour,George Weston Foods Ltd.,12/16/2008,withdrawn
265,Glycerophospholipid cholesterol acyltransferase (GCAT) enzyme preparation from Bacillus licheniformis expressing a modified GCAT gene from Aeromonas salmonicida subsp. salmonicida,"Genencor, a Danisco Division",06/13/2009,no questions
266,Polyglycerol polyricinoleate,Palsgaard A/S,05/29/2009,no questions
267,Protein glutaminase enzyme preparation derived from Chryseobacterium proteolyticum,"Amano Enzyme, Inc.",07/15/2009,no questions
268,Bifidobacterium longum strain BB536,"Morinaga Milk Industry Co., Ltd",07/08/2009,no questions
269,Polyglycerol fatty acid esters with a degree of polymerization of 11 to 40 for the polyglycerol backbone,"Taiyo-Kagaku Co., Ltd.",05/21/2009,no questions
270,Polyglycerol polyricinoleic acid,Stepan Company,06/15/2009,no questions
271,Ferrous ammonium phosphate,"Nestle USA, Inc.",05/29/2009,no questions
272,"Triple salt of magnesium, ammonium, and potassium chloride, hexahydrate","Smart Salt, Inc.",06/24/2009,no questions
273,Baobab ( Adansonia digitata ) dried fruit pulp,Cyril Lombard/PhytoTrade Africa,07/25/2009,no questions
274,Branching glycosyltransferase enzyme preparation from Bacillus subtilis expressing a branching glycosyltransferase gene from Rhodothermus obamensis,"Novozymes North America, Inc.",06/25/2009,no questions
275,Purified steviol glycosides with rebaudioside A as the principal component,"McNeil Nutritionals, LLC",06/11/2009,no questions
276,Dunaliella bardawil alga,Nikken Sohonsha Corporation,03/06/2009,withdrawn
277,Maltotetraohydrolase enzyme preparation from Bacillus licheniformis expressing a modified maltotetraohydrolase gene from Pseudomonas stutzeri,"Genencor, a Danisco Division",05/15/2009,no questions
278,Rebaudioside A purified from the leaves of Stevia rebaudiana (Bertoni) Bertoni,Blue California,07/20/2009,no questions
279,Phosphatidylserine derived from fish,Enzymotec Ltd.,07/25/2009,no questions
280,Whole and milled flaxseed,Flax Canada 2015,08/24/2009,no questions
281,Lactobacillus rhamnosus strain HN001 produced in a milk-based medium,Fonterra Co-operative Group,08/31/2009,no questions
282,Rebaudioside A purified from the leaves of Stevia rebaudiana (Bertoni) Bertoni,"Sweet Green Fields, LLC",08/11/2009,no questions
283,Stearidonic acid soybean oil,Monsanto Company,09/04/2009,no questions
284,Bakers yeast mannoprotein,DSM Food Specialties,08/28/2009,no questions
285,Galacto-oligosaccharides,GTC Nutrition,09/04/2009,no questions
286,Galacto-oligosaccharides,GTC Nutrition,09/04/2009,no questions
287,Purified steviol glycosides with rebaudioside A and stevioside as the principal components,Wisdom Natural Brands,08/28/2009,no questions
288,Lactobacillus rhamnosus strain HN001,Fonterra Co-operative Group,11/01/2009,no questions
289,Colicin E1 purified from Escherichia coli,"Ivy Animal Health, Inc.",06/25/2009,withdrawn
