fcn_no,effective_date,effective_year,substance,manufacturer
1265,"May 29, 2013",2013,"Polymer of dimethyl terephthalate, 1,4-cyclohexanedimethanol, and 2,2,4,4-tetramethyl-1,3-cyclobutanediol (CAS Reg. No. 261716-94-3) containing repeat units consisting of terephthalate esters of 2,2,4,4-tetramethyl-1,3-cyclobutanediol at up to 40 mole percent (expressed as mole percent of the glycol component of the finished copolyesters) and 1,4- cyclohexanedimethanol at no less than 60 mole percent, and, optionally, ≤0.5 percent (by weight of the finished resin) trimellitic anhydride (CAS Reg. No. 552-30-7) as a branching agent.",Eastman Chemical Company
1263,"May 15, 2013",2013,"N,N'-bis(phenylmethyl)hexanediamide (CAS Reg. No. 25344-24-5 ) in conjunction with cobalt neodecanoate (CAS Reg. No. 27253-31-2), cobalt acetate (CAS Reg. No. 71-48-7), or cobalt stearate (CAS Reg. No. 13586-84-0).","Graham Packaging Company, L.P."
1262,"May 14, 2013",2013,"Polyethylene terephthalate copolyesters (including isophthalic acid and/or diethylene glycol modified) that otherwise comply with 21 CFR 177.1630 or an applicable effective Food Contact Notification, containing up to 0.85 weight percent sodium dimethyl 5-sulfoisophthalate units.",Indorama Ventures USA LLC and its Steward Affiliates Around the World
1261,"May 7, 2013",2013,"Tannins, ammonium salt (CAS Reg. No. 71631-09-9).","Buckman Laboratories, Inc."
1260,"Jul 2, 2013",2013,"Ethene, polymer with 1,2,3,4,4a,5,8,8a-octahydro-1,4:5,8-dimethanonaphthalene (CAS Reg. No. 26007-55-6).","Mitsui Chemicals, Inc."
1259,"Apr 30, 2013",2013,"Benzenesulfonic acid, 2,2'-(1,2-ethenediyl)bis[5-[[4-bis(2-hydroxyethyl)amino]-6-[(4-sulfophenyl)amino]-1,3,5-triazin-2-yl]amino]-, tetrasodium salt (CAS Reg. No. 16470-24-9).",Dynatech Industrias Quimicas Ltd.
1258,"Apr 26, 2013",2013,"Acrylamide-diallylamine copolymer, sulfate salt, ammonium persulfate initiated (CAS Reg. No. 1355214-14-0).","Nalco, An Ecolab Company"
1257,"Apr 18, 2013",2013,"Octadecanamide, N,N'-1,2-ethanediylbis[12-hydroxy- (CAS Reg. No. 123-26-2).","Dai-Ichi Kogyo Seiyaku Co., Ltd."
1256,"Apr 16, 2013",2013,"1,2-Benzisothiazolin-3-one (CAS Reg. No. 2634-33-5).",THOR GmbH
1255,"Apr 12, 2013",2013,Copolymer of vinylidene fluoride and hexafluoropropene (CAS Reg. No. 9011-17-0).,3M
1254,,,REPLACED BY FCN 2406,
1253,"Jun 8, 2013",2013,Zirconium Oxide (CAS. Reg. No. 1314-23-4) and Tin(II) Phosphate (CAS. Reg. No. 15578-32-2) and Tin(II) Fluoride (CAS Reg. No. 7783-47-3).,Nippon Steel Corporation
1252,"Apr 3, 2013",2013,"Rutile Tin Zinc - doped with either potassium, sodium, or calcium (CAS Reg. No.: 207691-99-4, 389623-07-8, 389623-01-2, respectively).","Rockwood Pigments NA, Inc."
1251,,,REPLACED BY FCN 1544,
1247,"May 31, 2013",2013,"An aqueous mixture of peroxyacetic acid (CAS Reg. No. 79-21-0), hydrogen peroxide (CAS Reg. No. 7722-84-1), acetic acid (CAS Reg. No. 64-19-7) and l-hydroxyethylidine-1,1-diphosphonic acid (CAS Reg. No. 2809-21-4).",Valley Chemical Solutions
1246,,,REPLACED BY FCN 1834,
1245,,,REPLACED BY FCN 1502,
1242,"Mar 5, 2013",2013,"Hexanedioic acid, polymer with 1,3-benzenedimethanamine (CAS Reg. No.25718-70-1).","Syensqo Specialty Polymers USA, LLC"
1240,"Feb 20, 2013",2013,Titanium nitride (CAS Reg. No. 25583-20-4).,BryCoat Inc.
1239,"Feb 20, 2013",2013,Chromium nitride (CAS Reg. No. 24094-93-7).,BryCoat Inc.
1238,"Feb 19, 2013",2013,Pyromellitic dianhydride (CAS Reg. No. 89-32-7).,Sherwin-Williams Company
1237,"Feb 19, 2013",2013,"Tris(2,4-di- tert -butylphenyl)phosphite (CAS Reg. No. 31570-04-4). REPLACES FCN 767","Songwon Industrial Company, Ltd."
1236,,,REPLACED BY FCN 2046,
1235,"Mar 29, 2013",2013,Silver-silica.,Nanox Intelligent Materials
1234,"Jan 23, 2013",2013,"Copolymers and polymers made from the reaction of dimethyl terephthalate or terephthalic acid with a mixture containing 0 to 99 mole percent of ethylene glycol and 100 to 1 mole percent of 1,4-cyclohexanedimethanol (70 percent trans isomer, 30 percent cis isomer). The copolymers may be branched with trimellitic anhydride (CAS Reg. No. 552-30-7) at levels up to 0.5 percent (by weight of the finished resin).",Eastman Chemical Company
1233,"Jan 22, 2013",2013,Poly(ethylene oxide-co-propylene oxide) ethyl 4-(bis(2-hydroxyethyl)amino)-α-cyano-2-methylcinnamate ether (2:1) (CAS Reg. No. 908119-61-9).,Milliken and Company
1231,"Mar 2, 2013",2013,"5,12-Dihydro-2,9-dimethylquino[2,3-b]acridine-7,14-dione (C.I. Pigment Red 122, CAS Reg. No. 980-26-7) also known as 2,9-Dimethylquinacridone.",Heubach Colour Pvt. Ltd.
1230,"Jan 11, 2013",2013,"Tris(2,4-di- t -butylphenyl)phosphite (CAS Reg. No. 31570-04-4).",Adeka Corporation
1229,"Jan 3, 2013",2013,"1H-Azepine-1-carboxamide, hexahydro-2-oxo-N-[3,3,5-trimethyl-5-[[tetrahydro-3,5-bis[(5-isocyanato-1,3,3-trimethylcyclohexyl)methyl]-2,4,6-trioxo-1,3,5-triazin-1(2H)-yl]methyl]cyclohexyl]- (CAS Reg. No. 1262431-48-0). REPLACES FCN 1167",Sherwin-Williams Company
1228,"Jan 3, 2013",2013,"Styrene block polymer with 2-methyl-1,3-butadiene, hydrogenated (CAS No. 68648-89-5).",Aerospace Lubricants
1227,"Dec 29, 2012",2012,"Industrial starch modified by treatment with greater than 5 percent and not more than 21 percent 2,3-epoxypropyltrimethylammonium chloride (CAS Reg. No. 56780-58-6).","Siam Quality Starch Co., Ltd."
1226,"Dec 26, 2012",2012,"3a,4,7,7a-tetrahydro-4,7-methanoisobenzofuran-1,3-dione (CAS Reg. No. 826-62-0).",Sherwin-Williams Company
1225,"Dec 19, 2012",2012,"1,6-Hexanediol (CAS Reg. No. 629-11-8).",Metlac S.p.A.
1224,"Dec 13, 2012",2012,Sodium borohydride (CAS Reg. No. 16940-66-2) used in conjunction with palladium acetate (CAS Reg. No. 3375-31-3) REPLACES FCN 1114 and FCN 1160,ColorMatrix Group
1223,"Dec 12, 2012",2012,"Hexanedioic acid, polymer with hexahydro-2H-azepin-2-one and 1,6-hexanediamine (Nylon6/66) (CAS Reg. No. 24993-04-2).",BASF Corporation
1222,"Feb 16, 2013",2013,Co-poly alpha olefin (C 18 -C 30 .),"Idemitsu Kosan Co., Ltd."
1217,"Nov 30, 2012",2012,Glycidyl methacrylate polymer with styrene and methyl methacrylate (CAS Reg. No 29564-58-7).,Sherwin-Williams Company
1216,"Nov 20, 2012",2012,Copper(II) hydroxide phosphate (CAS Reg. No. 12158-74-6). REPLACES FCN 926,Chemishe Fabrik Budenheim KG and branches
1215,"Nov 15, 2012",2012,"Poly(oxy(1,1'-biphenyl)-4,4'-diyloxy-1,4-phenylenesulfonyl-1,4-phenylene) (CAS Reg. No. 25839-81-0 and 25608-64-4).","Syensqo Specialty Polymers USA, LLC"
1214,"Nov 14, 2012",2012,Sorbic acid (CAS Reg. No. 110-44-1).,Sherwin-Williams Company
1213,,,REPLACED BY FCN 2226,
1212,,,REPLACED BY FCN 2175,
1211,"Nov 6, 2012",2012,A mixture of linear saturated aliphatic esters produced from C 16 -C 18 alcohols and C 14 -C 20 fatty acids.,"Riken Vitamin Co., Ltd. Tianjin Rikevita Food Co., Ltd."
1210,"Oct 31, 2012",2012,"2-Propenoic acid, 2-methyl-, polymer with ethyl 2-propenoate, and poly(oxy-1,2-ethanediyl), α-(2-methyl-1-oxo-2-propenyl)-ω-hydroxy-, C 16 - 18 -alkyl ether.",BASF SE
1209,"Oct 30, 2012",2012,"Propenoic acid, polymer with silicic acid (H 4 SiO 4 ) tetramethyl ester, zinc salt (CAS Reg. No. 1338452-06-4).","Kuraray Company, Ltd."
1208,"Oct 24, 2012",2012,"1,2-Benzisothiazolin-3-one (CAS Reg. No. 2634-33-5).",Prom Chemie AG
1206,,,REPLACED BY FCN 1557,
1205,"Oct 16, 2012",2012,"Poly(oxy-1,2-ethanediyl), α-(3-carboxy-1-oxosulfopropyl)-ω-(isotridecyloxy)-, sodium salt (1:2) (CAS Reg. No. 1013906-64-3).",Cytec Industries Inc.
1201,"Oct 9, 2012",2012,"Dodecylbenzenesulfonic acid, calcium salt (CAS Reg. No. 26264-06-2).",TOTAL Lubrifiants
1198,"Oct 25, 2012",2012,Ethylene-vinyl acetate-vinyl alcohol (EVOH) copolymers complying with 21 CFR 177.1360(a)(3) (CAS Reg. No. 26221-27-2).,"Kuraray Company, Ltd."
1197,"Nov 6, 2012",2012,"Hypobromous acid (CAS Reg. No. 13517-11-8) generated on-site from an aqueous mixture of sodium bromide (CAS Reg. No. 7647-15-6) and sodium, potassium or calcium hypochlorite (CAS Reg. Nos. 7681-52-9, 7778-66-7 or 7778-54-3).",Albemarle Corporation
1195,"Sep 14, 2012",2012,"Poly(oxy-1,2-ethanediyl), α-[3,5-dimethyl-1-(2-methylpropyl)hexyl]-ω-hydroxy- (CAS Reg. No. 60828-78-6).",The Dow Chemical Company
1194,"Nov 8, 2012",2012,Methyl formate (CAS Reg. No. 107-31-3).,Pactiv LLC
1193,"Nov 13, 2012",2012,"Formaldehyde, reaction products with diphenylamine, 6(or 7)-methyl-1H-benzotriazole and 2,4,4-trimethylpentene (CAS Reg. No. 676348-65-5).","Vanderbilt Chemicals, LLC"
1192,"Sep 7, 2012",2012,Tricyclodecanedimethanol (CAS Reg. Nos. 26896-48-0 and 26160-83-8).,Sherwin-Williams Company
1191,"Sep 7, 2012",2012,Isophorone diisocyanate (CAS Reg. No. 4098-71-9).,Sherwin-Williams Company
1190,"Sep 4, 2012",2012,"1,3-dibromo-5,5-dimethylhydantoin (DBDMH) (CAS Reg. No. 77-48-5).",Albemarle Corporation
1189,"Oct 27, 2012",2012,Calcium borate (CAS Reg. No. 12040-58-3).,TOTAL Lubrifiants
1188,"Aug 31, 2012",2012,Ethyl acrylate-glycidyl methacrylate-methacrylic acid-styrene copolymer (CAS Reg. No. 56990-26-2).,"Akzo Nobel Coatings Inc. Akzo Nobel Coatings (Tianjin) Co., Ltd. Akzo Nobel Coatings (Jiaxing) Co. Ltd. LLC Petrokom Lipetsk Server Boya A.S. Akzo Nobel Performance Coatings (Shanghai) Co. Ltd. Akzo Nobel Industrial Finishes AB Akzo N"
1184,"Oct 6, 2012",2012,"Styrene block polymers with 2-methyl-1,3-butadiene and 1,3-butadiene, hydrogenated (CAS Reg. No.132778-07-5).","Kuraray Co., Ltd. Kuraray America, Inc. Kuraray Europe GmbH"
1183,,,REPLACED BY FCN 1544,
1182,"Jul 31, 2012",2012,"Polyethylene glycol alkyl (C12-C14) ether sulfosuccinate, disodium salt (CAS Reg. No.1024612-24-5) in a mixture with authorized sulfosuccinate disodium salts.",Cytec Industries Inc.
1181,"Jul 31, 2012",2012,"1-propanaminium, N,N,N,-trimethyl-3-[(1-oxo-2-propen-1-yl)amino]-, chloride (1:1), polymer with ethenamine, hydrochloride (CAS Reg. No. 1353435-58-1).",Solenis LLC
1180,,,REPLACED BY FCN 2427,
1179,"Jul 11, 2012",2012,"Acetic acid ethenyl ester, polymer with ethene and ethenol (CAS Reg. No. 26221-27-2).","Kuraray Co., Ltd. Kuraray America, Inc. Kuraray Europe GmbH Kuraray Asia Pacific Pte. Ltd."
1177,"Jul 6, 2012",2012,"Co-polymer of methacrylic acid, ethyl acrylate, styrene, butyl methacrylate, and glycidyl methacrylate.","PPG Industries, Inc."
1176,"Aug 15, 2012",2012,Hypochlorous acid (CAS Reg. No. 7790-92-3).,"HSP USA, LLC"
1175,"Jul 3, 2012",2012,"5-Sulfo-1,3-benzenedicarboxylic acid, monosodium salt (CAS Registry No. 6362-79-4).",FutureFuel Chemical Company
