fcn_no,effective_date,effective_year,substance,manufacturer
2043,"Apr 14, 2020",2020,"Cellulose acetate (CAS Reg. No. 9004-35-7), and optionally modified with propionate to form cellulose acetate propanoate (CAS Reg. No. 9004-39-1) resulting in up to 49 weight-percent propionate esters.",Eastman Chemical Company
2039,"Jun 20, 2020",2020,Diallyldimethylammonium chloride polymer with acrylamide (CAS Reg. No. 26590-05-6) produced by copolymerizing up to 5 weight percent of acrylamide and up to 95 weight percent of diallyldimethylammonium chloride.,"Buckman Laboratories, Inc."
2038,"Apr 9, 2020",2020,"Benzenesulfonic acid, 2-[2-(2,4-diamino-1,6-dihydro-6-oxo-5-pyrimidinyl)diazenyl]-5-methyl- (CAS Reg No. 1021701-36-9).",Colors and Effects USA LLC
2037,,,REPLACED BY FCN 2213,
2036,"Apr 2, 2020",2020,"An aqueous mixture of peroxyacetic acid (PAA) (CAS Reg. No. 79-21-0), hydrogen peroxide (HP) (CAS Reg. No. 7722-84-1), acetic acid (AA) (CAS Reg. No. 64-19-7), 1-hydroxyethylidene-1,1-diphosphonic acid (HEDP) (CAS Reg. No. 2809-21-4), dipicolinic acid (DPA) (CAS Reg. No. 499-83-2), and optionally sulfuric acid (CAS Reg. No. 7664-93-9). REPLACES FCN 1639",Biosan LLC
2035,"Apr 2, 2020",2020,"Octadecyl 3,5-di-tert-butyl-4-hydroxyhydrocinnamate (CAS Reg. No. 2082-79-3).",BASF Corporation
2034,"Mar 31, 2020",2020,"Copolymers of styrene (CAS Reg. No. 100-42-5), α-methylstyrene (CAS Reg. No. 98-83-9), butyl methacrylate (CAS Reg. No. 97-88-1), 2-ethylhexyl acrylate (CAS Reg. No. 103-11-7), methyl methacrylate (CAS Reg. No. 80-62-6), butyl acrylate (CAS Reg. No. 141-32-2), itaconic acid (CAS Reg. No. 97-65-4), methacrylic acid (CAS Reg. No. 79-41-4), hydroxypropyl acrylate (CAS Reg. No. 999-61-1 and CAS Reg. No. 2918-23-2), sodium methallyl sulfonate (CAS Reg. No. 1561-92-8), and sodium styrene sulfonate (CAS Reg. No. 2695-37-6).","Arakawa Chemical Industries, Ltd."
2033,"Mar 31, 2020",2020,"An aqueous mixture of peroxyacetic acid (PAA) (CAS Reg. No. 79-21-0), hydrogen peroxide (HP) (CAS Reg. No. 7722-84-1), acetic acid (AA) (CAS Reg. No. 64-19-7), 1-hydroxyethylidene-1,1-diphosphonic acid (HEDP) (CAS Reg. No. 2809-21-4), and optionally dipicolinic acid (DPA) (CAS Reg. No. 499-83-2) and/or sodium hydroxide (NaOH) (CAS Reg. No. 1310-73-2). REPLACES FCN 1426","Solvay Chemicals, Inc."
2032,"May 29, 2020",2020,"1,4-benzenedicarboxylic acid, (or dimethyl ester) polymer with 1,4-butanediol, adipic or sebacic acid, hexamethylene diisocyanate and further reacted with no more than 1 percent by weight of the polyhydric alcohol described in the notification. REPLACES FCN 907 and FCN 916",BASF SE
2031,,,REPLACED BY FCN 2139,
2029,,,REPLACED BY FCN 2106,
2028,"Feb 12, 2020",2020,"Polyurethane resins (CAS Reg. No. 89097-02-9) derived from the reaction of diphenylmethane diisocyanate with 1,3-propanediol and polytetramethylene ether glycol.",BASF SE and its affiliates
2027,,,REPLACED BY FCN 2108,
2026,"Mar 25, 2020",2020,"Blocked isophorone diisocyanate (IPDI) polymer consisting of trimer, pentamer, heptamer, and nonamer oligomers, with the primary component of interest being the trimer (CAS Reg. No. 103170-26-9). REPLACES FCN 1039",The Sherwin-Williams Company
2025,"Jan 31, 2020",2020,"Cellulose, triacetate (CAS Reg. No. 9012-09-3).",Eastman Chemical Company
2024,"Jan 28, 2020",2020,"Acetic acid ethenyl ester, polymer with ethene and ethenol (CAS Reg. No. 26221-27-2).","Kuraray Co., Ltd. Kuraray America, Inc. Kuraray Europe GmbH Kuraray Asia Pacific Pte. Ltd."
2023,"Jan 22, 2020",2020,"A mixture of 35-60 percent hydroxysulfinoacetic acid, disodium salt (CAS Reg. No. 223106-41-0), 10-60 percent hydroxysulfoacetic acid, disodium salt (CAS Reg. No. 29736-24-1), and 0-40 percent sodium sulfite (CAS Reg. No. 7757-83-7).","Brüggemann Chemical US, Inc."
2022,,,REPLACED BY FCN 2413,
2021,"Jan 9, 2020",2020,Microfibrillated cellulose pulp (CAS Reg. No. 65996-61-4).,Kemira Oyj
2020,"Jan 3, 2020",2020,"Mixed esters of C 5 -C 12 fatty acids with pentaerythritol, dipentaerythritol, and polypentaerythritol.",LANXESS Corporation
2019,"Jan 2, 2020",2020,"Platinum 5,10,15,20-tetrakis(pentafluorophenyl)porphyrin (CAS Reg. No. 109781-47-7).",GEA Food Solutions Germany GmbH
2017,"Mar 7, 2020",2020,bis(hydrogenated palm-oil alkyl)hydroxy amines (CAS Reg. No. 1374859-51-4).,BASF Corporation
2014,"Nov 20, 2019",2019,"2-propenoic acid, 2-methyl-, 1-methyl-1,3-propanediyl ester, polymer with 1,3-butadiene, butyl 2-propenoate, ethenylbenzene, and methyl-2-methyl-2-propenoate (CAS Reg. No. 143646-08-6 or 25101-28-4). REPLACES FCN 1508",Kaneka Belgium NV
2013,"Nov 16, 2019",2019,Butyl acrylate (CAS Reg. No. 141-32-2).,"PPG Industries, Inc."
2011,,,REPLACED BY FCN 2266,
2009,"Oct 30, 2019",2019,"An aqueous mixture of peroxyacetic acid (PAA) (CAS Reg. No. 79-21-0), hydrogen peroxide (HP) (CAS Reg. No. 7722-84-1), acetic acid (AA) (CAS Reg. No. 64-19-7), and, optionally, sulfuric acid (SA) (CAS Reg. No. 7664-93-9).",Hydrite Chemical Co.
2007,"Jan 3, 2020",2020,"2-Propenoic acid, polymer with sodium phosphinate (1:1), neutralized with sodium, calcium, and/or magnesium (including CAS Reg. No. 129898-01-7 (Na salt), CAS Reg. No. 935545-65-6 (Mg Na salt)).",Coatex and Affiliates
2006,"Oct 23, 2019",2019,"An aqueous mixture of peroxyacetic acid (PAA) (CAS Reg. No. 79-21-0), hydrogen peroxide (HP) (CAS Reg. No. 7722-84-1), acetic acid (AA) (CAS Reg. No. 64-19-7), sulfuric acid (SA) (CAS reg. No. 7664-93-9), and 1-hydroxyethylidine-1,1- diphosphonic acid (HEDP) (CAS Reg. No. 2809-21-4).",DeLaval Inc.
2005,"Dec 26, 2019",2019,Trimethylolpropane trisorbate (TMPTS) (CAS Reg. No. 2307636-51-5).,Milliken Chemical
2004,"Oct 9, 2019",2019,"Carbamodithioic acid, N,N-dibutyl-, C,C'-methylene ester (CAS Reg. No. 10254-57-6).",MOL-LUB Kft
2002,"Oct 3, 2019",2019,"Polyurethane resin produced by reacting a mixture of 2,4-toluene diisocyanate (CAS Reg. No. 584-84-9) and 2,6-toluene diisocyanate (CAS Reg. No. 91-08-7) with polyoxyethylene-polyoxypropylene glyceryl ether (CAS Reg. No. 9082-00-2) and 1,4-butanediol (CAS Reg. No. 110-63-4).","Flexpur Polímeros de Poliuretano, S.A."
2001,"Sep 14, 2019",2019,"A mixture of 1-decene, polymer with sulfur dioxide (CAS Reg. No. 33990-98-6); 1,3-propanediamine, N1-(9Z)-9-octadecen-1-yl-, polymer with 2-(chloromethyl)oxirane (CAS Reg. No. 1010121-89-7); and dodecylbenzenesulfonic acid (CAS Reg. No. 27176-87-0). REPLACES FCN 1819",Innospec Ltd.
2000,,,REPLACED BY FCN 2100,
1998,,,REPLACED BY FCN 2292,
1997,"Nov 5, 2019",2019,"Polycyclooctene (CAS Reg. No. 25267-51-0), used in conjunction with cobalt stearate (CAS Reg. No. 13586-84-0) REPLACES FCN 1896",Evonik Resource Efficiency GmbH
1996,"Aug 31, 2019",2019,"Acrylic resin derived from styrene (CAS Reg. No. 100-42-5), ethyl acrylate (CAS Reg. No. 140-88-5), and acrylic acid (CAS Reg. No. 79-10-7).",The Sherwin-Williams Company
1995,"Oct 30, 2019",2019,"An aqueous mixture of peroxylactic acid (PLA) (CAS Reg. No. 75033-25-9), hydrogen peroxide (HP) (CAS Reg. No. 7722-84-1), lactic acid (LA) (CAS Reg. No. 50-21-5), optionally 1-hydroxyethylidine-1,1-diphosphonic acid (HEDP) (CAS Reg. No. 2809-21-4), optionally sulfuric acid (SA) (CAS Reg. No. 7664-93-9), optionally dipicolinic acid (DPA) (CAS Reg. No. 499-83-2), and optionally phosphoric acid (PA) (CAS Reg. No. 7664-38-2).",Valley Chemical Solutions
1993,"Oct 29, 2019",2019,"1,3-Benzenedicarboxylic acid, 5-sulfo-, 1,3-dimethyl ester, sodium salt (1:1), polymer with dimethyl 1,4-benzenedicarboxylate and 1,2-ethanediol (CAS Reg. No. 27937-63-9).","Matsumura Sangyo Co., Ltd. Goo Chemical Co., Ltd."
1991,"Aug 21, 2019",2019,"Polyester-polyurethane adhesive formulated from the following: 1,3-benzenecarboxylic acid (CAS Reg. No. 121-91-5); 2-ethyl-2-(hydroxymethyl)-1,3-propanediol (CAS Reg. No. 77-99-6); hexanedioic acid (CAS Reg. No. 124-04-9); 1,2-propanediol (CAS Reg. No. 57-55-6); diphenylmethane 4,4'-diisocyanate (CAS Reg. No. 101-68-8); bis(isocyanatophenyl) methane (CAS Reg. No. 26447-40-5); castor oil (CAS Reg. No. 8001-79-4); 1-propanamine, 3-(trimethoxysilyl)-N-[3-(trimethoxysilyl)propyl]- (CAS Reg. No. 82985-35-1); poly[oxy(methyl-1,2-ethanediyl)], α-hydro-ω-hydroxy- (CAS Reg. No. 25322-69-4); ethanol, 2,2'-[1,2-ethanediylbis(oxy)]bis- (CAS Reg. No.112-27-6); poly[oxy(methyl-1,2-ethanediyl)], α,α',α''-1,2,3-propanetriyltris[ω-hydroxy- (CAS Reg. No. 25791-96-2).","COIM USA, Inc. COIM S.p.A., Italy Coim Brasil Ltda. Coim Asia Pacific Pte Ltd. Coim India Pvt., Ltd."
1989,"Jul 11, 2019",2019,"Cellulose acetate (CAS Reg. No. 9004-35-7), and optionally modified with propionate to form cellulose acetate propanoate (CAS Reg. No. 9004-39-1) resulting in up to 49 weight-percent propionate esters.",Eastman Chemical Company
1988,"Jun 25, 2019",2019,"Phosphorous acid, cyclic neopentanetetrayl bis(2,4-di-tert-butylphenyl) ester (CAS Reg. No. 26741-53-7).",Addivant
1986,,,REPLACED BY FCN 2266,
1985,"Jun 15, 2019",2019,2-(dimethylamino)ethanol (CAS Reg. No. 108-01-0).,The Dow Chemical Company
1981,"Jun 5, 2019",2019,Silver-magnesium-zinc-aluminum-calcium-sodium-borate-phosphate glass.,"Ishizuka Glass Co., Ltd."
1980,"Jun 4, 2019",2019,"N,N-bis(2-hydroxyethyl)alkyl(C 13 -C 15 )amine (CAS Reg. No. 70955-14-5).",Braskem S.A. Braskem Affiliates Braskem Netherlands B.V. Tetra Pak Inc. Tetra Pak Canada Inc.
1979,"Jun 4, 2019",2019,"N,N-bis(2-hydroxyethyl)alkyl(C 13 -C 15 )amine (CAS Reg. No. 70955-14-5).",Braskem S.A. Braskem Affiliates Braskem Netherlands B.V. Tetra Pak Inc. Tetra Pak Canada Inc.
1977,"Aug 9, 2019",2019,"2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate, ethenylbenzene, 2-ethylhexyl 2-propenoate, methyl 2-methyl-2-propenoate and 2-methylpropyl 2-methyl-2-propenoate (CAS Reg. No. 1515850-94-8).",BASF Corporation
1976,"May 31, 2019",2019,"Copolymers of acrylamide, 2-(dimethylamino)ethyl methacrylate, itaconic acid, benzyl[2-(methacryloyloxy)ethyl](dimethyl)ammonium chloride, and benzyldimethyl[2-[(1-oxoallyl)oxy]ethyl]ammonium chloride, optionally crosslinked with hexahydro-1,3,5-tris(1-oxoallyl)-1,3,5-triazine.","Arakawa Chemical Industries, Ltd."
1975,"May 31, 2019",2019,"Oxirane, 2-methyl-, polymer with oxirane, ether with 1,2,3-propanetriol (3:1), polymer with 1,3-diisocyanato-2-methylbenzene and 2,4-diisocyanato-1-methylbenzene (CAS Reg. No. 68227-13-4).","Amorim & Irmãos, S.A."
1974,"Aug 9, 2019",2019,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with butyl 2-propenoate, ethenylbenzene, 2-ethylhexyl 2-propenoate, 2-methylpropyl 2-methyl-2-propenoate and 2-propenoic acid (CAS Reg. No. 103235-87-6).",BASF Corporation
1970,"Aug 1, 2019",2019,"2-Bromo-2-nitro-1,3-propanediol (CAS Reg. No. 52-51-7).",LANXESS Corporation
1968,,,REPLACED BY FCN 2046,
1967,"May 28, 2019",2019,"2,2-bis((pentanoyloxy)methyl)propane-1,3-diyl dipentanoate (CAS Reg. No. 15834-04-5).",Perstorp AB
1966,"May 28, 2019",2019,"1,4-Benzenedicarboxylic acid, polymer with 2-methyl-1,8-octanediamine and 1,9-nonanediamine, reaction products with benzoic acid (CAS Reg. No. 1310362-57-2).","Kuraray Company, Ltd."
1965,"May 28, 2019",2019,Aluminum silicon silver oxide with sodium zeolite Y (CAS Re. No. 308081-05-2).,"The Nikka Whisky Distilling Co., Ltd."
1963,"May 28, 2019",2019,"Fatty acids, C 14 -C 20 , esters with pentaerythritol (CAS Reg. No. 68440-28-8).",Peter Greven GmbH & Co. KG
1962,"May 28, 2019",2019,"Amines, hydrogenated tallow alkyl, acetates (CAS Reg. No. 61790-59-8).",Nobian Industrial Chemicals B.V.
1961,"May 28, 2019",2019,"Nylon MXD-6 (CAS Reg. No. 25718-70-1) (also known as hexanedioic acid, polymer with 1,3-benzenedimethanamine) meeting the analytical specifications in 21 CFR 177.1500(b) item 10.1 and used in conjunction with cobalt neodecanoate (CAS Reg. No. 27253-31-2) and/or cobalt propionate (CAS Reg. No. 1560-69-6).",Indorama Ventures USA Inc. and its stewarded affiliates around the world
1960,"May 20, 2019",2019,"An aqueous mixture of peroxyacetic acid (PAA) (CAS Reg. No. 79-21-0), hydrogen peroxide (HP) (CAS Reg. No. 7722 -84-1), acetic acid (CAS Reg. No. 64-19-7), 1-hydroxyethylidine-1,1-diphosphonic acid (HEDP) (CAS Reg. No. 2809-21-4), and optionally sulfuric acid (CAS Reg. No. 7664-93-9) and/or dipicolinic acid (DPA) (CAS Reg. No. 499-83-2).","Harcros Chemicals, Inc."
1959,"May 19, 2019",2019,"Butanedioic acid, 2-methylene-, polymer with ethenyl acetate, hydrolyzed, sodium salts (CAS Reg. No. 122625-12-1).","Kuraray Co., Ltd. Kuraray America, Inc. Kuraray Europe GmbH Kuraray Asia Pacific Pte. Ltd."
1958,"Jul 17, 2019",2019,"Fluorocarbon cured elastomer produced by copolymerizing tetrafluoroethylene (CAS Reg. No. 116-14-3) and propylene (CAS Reg. No. 115-07-1) and subsequent curing with triallylisocyanurate (CAS Reg. No. 1025-15-6) or triallylcyanurate (CAS Reg. No. 101-37-1) and 2,2-bis( tert -butylperoxy)diisopropylbenzene (CAS Reg. No. 25155-25-3).","AGC Chemicals Americas, Inc."
1957,"Jul 3, 2019",2019,"The FCS is a reaction product of three polymers: 2-propenoic acid, 2-methyl-, methyl ester, polymer with 4,5-dihydro-2-(1-methylethenyl)oxazole and ethyl 2-propenoate (CAS Reg. No. 57460-65-8); methyl methacrylate, ethyl acrylate, methacrylic acid, butanoic acid 3-oxo-2-[(2-methyl-1-oxo-2-propenyl)oxy]ethyl ester, 3-(trimethoxysilyl)propyl methacrylate with poly(oxy-1,2-ethanediyl), alpha-sulfo-omega-[4-nonyl-2-(1-propen-1-yl)phenoxy]-, branched, ammonium salts copolymer; and 1,3-benzenedicarboxylic acid, polymer with 2-[(2-aminoethyl)amino]ethanol, 1,3-bis(isocyanatomethyl)cyclohexane, decanedioic acid, 1,3-diisocyanatomethylbenzene, 2,2-dimethyl-1,3-propanediol, 1,2-ethanediol and 3-hydroxy-2-(hydroxymethyl)-2- methylpropanoic acid, compound with 1,1',1''-nitrilotris[2-propanol] (CAS Reg. No. 1239020-50-8). REPLACES FCN 1767","TOYOBO Co., Ltd."
1955,"May 13, 2019",2019,"2-propenoic acid, polymer with sodium phosphinate (1:1), neutralized with sodium, calcium, and/or magnesium (including CAS Reg. No. 129898-01-7 (Na salt), CAS Reg. No. 935545-65-6 (Mg Na salt)).",Coatex and Affiliates
1953,"May 5, 2019",2019,Trimethylolpropane (CAS Reg. No. 77-99-6).,Tronox LLC
1952,"Apr 19, 2019",2019,"1,4-benzenedicarboxylic acid, 1,4-dibutyl ester (CAS Reg. No. 1962-75-0).",Eastman Chemical Company
1951,"Apr 14, 2019",2019,Polyphenylene sulfide (CAS Reg. No. 26125-40-6 or 25212-74-2). REPLACES FCN 1731,DIC EP Corporation DIC Corporation
1950,"Mar 29, 2019",2019,"An aqueous mixture of peroxyacetic acid (PAA) (CAS Reg. No.79-21-0), hydrogen peroxide (HP) (CAS Reg. No.7722-84-1), acetic acid (CAS Reg. No. 64-19-7), 1-hydroxyethylidine-1,1-diphosphonic acid (HEDP) (CAS Reg. No. 2809-21-4), and optionally sulfuric acid (CAS Reg. No. 7664-93-9). REPLACES FCN 1595","Evonik Active Oxygens, LLC"
1948,"May 25, 2019",2019,"Acrylic resins derived from styrene (CAS Reg. No. 100-42-5), ethyl acrylate (CAS Reg. No. 140-88-5), 1,4-butanediol dimethacrylate (CAS Reg. No. 2082-81-7), acrylic acid (CAS Reg. No. 79-10-7), and 2-hydroxyethyl methacrylate (CAS Reg. No. 868-77-9).",The Sherwin-Williams Company
1946,"May 28, 2019",2019,"An aqueous mixture of peroxylactic acid (PLA), hydrogen peroxide (HP), lactic acid, water, optional 1-hydroxyethylidine-1,1-diphosphonic acid (HEDP), optionally sulfuric acid, and optionally phosphoric acid.",Valley Chemical Solutions
1945,,,REPLACED BY FCN 2068,
1944,,,REPLACED BY FCN 2065,
1943,"Feb 24, 2019",2019,"1,6-Hexanediol (CAS Reg. No. 629-11-8).","PPG Industries, Inc."
1941,"Jan 9, 2019",2019,"N,N,N',N'-tetrakis(2-hydroxyethyl)hexanediamide (CAS Reg. No. 6334-25-4).",SIR Industriale S.p.A.
1937,"Dec 26, 2018",2018,"Copolymer of vinyl acetate (CAS Reg No. 108-05-4), butyl acrylate (CAS Reg No 141-32-2), glycidyl methacrylate (CAS Reg. No. 106-91-2), itaconic acid (CAS Reg. No. 97-65-4), and sodium vinylsulfonate (CAS Reg. No. 3039-83-6).",BASF Corporation
1936,"Dec 26, 2018",2018,"An aqueous mixture containing peroxyacetic acid (PAA; CAS Reg. No. 79-21-0), hydrogen peroxide (HP, CAS Reg. No. 7722-84-1), acetic acid (CAS Reg. No. 64-19-7), 1-hydroxyethylidene-1,1-diphosphonic acid (HEDP, CAS Reg. No. 2809-21-4), dipicolinic acid (DPA, CAS Reg. No. 499-83-2), and, optionally, sulfuric acid (CAS Reg. No. 7664-93-9).",Diversey Inc.
1935,"Mar 29, 2019",2019,"Octadecyl 3,5-di-tert-butyl-4-hydroxyhydrocinnamate (CAS Reg. No. 2082-79-3).",TSRC Corporation
1934,"Dec 21, 2018",2018,Isononanoic and 2-ethylhexanoic acid esters with pentaerythritol,"Performance Fluids, Ltd."
1933,"Dec 21, 2018",2018,Isononanoic acid esters with dipentaerythritol,"Performance Fluids, Ltd."
1931,"Mar 7, 2019",2019,"1,2,4,5,7,8-Hexoxonane, 3,6,9-trimethyl-, 3,6,9-tris(Et and Pr) derivs. (CAS Reg. No. 1613243-54-1).","Nouryon Functional Chemicals, LLC Nouryon Chemicals NV/SA"
1929,"Mar 11, 2019",2019,"Ethanaminium, N,N,N-trimethyl-2-[(1-oxo-2-propen-1-yl)oxy]-, chloride (1:1), polymer with 2-propenamide (CAS Reg. No. 69418-26-4) with up to 0.06 mol % of poly(oxy-1,2-ethanediyl), alpha-(2-methyl-1-oxo-2-propen-1-yl)-omega-hydroxy-, C16-18-alkyl ethers (CAS Reg. No. 70879-51-5).","NALCO Water, an Ecolab Company"
1928,"Dec 5, 2018",2018,"Fatty acids, C18-unsatd., dimers, polymers with caprolactam and hexamethylenediamine [Nylon 6/6.36] (CAS Reg. No 2068097-08-3).",BASF SE
1927,"Mar 15, 2019",2019,"Phosphorous acid, mixed 2,4-bis(1,1-dimethylpropyl)phenyl and 4-(1,1-dimethylpropyl)phenyl triesters (CAS Reg. No. 939402-02-5). REPLACES FCN 1800",Addivant
1926,"Nov 30, 2018",2018,"(3R,6R)-3,6-dimethyl-1,4-dioxane-2,5-dione, polymer with rel-(3R,6S)-3,6-dimethyl-1,4-dioxane-2,5-dione and (3S,6S)-3,6-dimethyl-1,4-dioxane-2,5-dione (aka polylactide (PLA) polymers), optionally containing up to 16 weight percent D-lactic acid polymer units (CAS Reg. No. 9051-89-2).",TotalEnergies Corbion B.V.
1922,"Jan 23, 2019",2019,"2-Propen-1-aminium, N,N-dimethyl-N-2-propen-1-yl-, chloride (1:1), polymer with ethanedial and 2-propenamide (CAS Reg. No. 32555-39-8).",SNF SAS SNF Inc.
1921,"Nov 9, 2018",2018,"A mixture of benzenesulfonic acid, 2,2'-(1,2-ethenediyl)bis[5-[[4-[(2-hydroxyethyl)amino]-6-(phenylamino)-1,3,5-triazin-2-yl]amino]-, disodium salt (CAS Reg. No. 17958-73-5), benzenesulfonic acid, 5-[[4-[bis(2-hydroxyethyl)amino]-6-(phenylamino)-1,3,5-triazin-2-yl]amino]-2-[2-[4-[[4-[(2-hydroxyethyl)amino]-6-(phenylamino)-1,3,5-triazin-2-yl]amino]-2-sulfophenyl]ethenyl]-, disodium salt (CAS Reg. No. 88358-71-8) and benzenesulfonic acid, 2,2'-(1,2-ethenediyl)bis[5-[[4-[bis(2-hydroxyethyl)amino]-6-(phenylamino)-1,3,5-triazin-2-yl]amino]-, disodium salt (CAS Reg. No. 4193-55-9).","Archroma U.S., Inc."
1920,"Nov 6, 2018",2018,Polyurethane resin produced by reacting hexamethylene diisocyanate homopolymer (CAS Reg. No. 28182-81-2) with castor oil (CAS Reg. No. 8001-79-4).,Diam Bouchage SAS Henkel AG & Co. KGaA
1919,"Dec 28, 2018",2018,"2,6-Pyridinedicarboxylic acid (dipicolinic acid) (CAS Reg. No. 499-83-2).","Enviro Tech Chemical Services, Inc."
1918,"Oct 25, 2018",2018,"Hydrocarbons, C6-C20, polymers, hydrogenated (CAS reg. No. 69430-35-9).",Synthomer Adhesive Technologies LLC
1917,"Oct 17, 2018",2018,2-Amino-2-methyl-1-propanol (CAS. Reg. No. 124-68-5).,ANGUS Chemical Company
1915,"Oct 9, 2018",2018,Sodium chlorite (CAS Reg. No. 7758-19-2).,"CH 2 O, Inc."
1914,"Dec 13, 2018",2018,"Tetrafluoroethylene-ethylene-3,3,4,4,5,5,6,6,6-nonafluoro-1-hexene terpolymer (CAS Reg. No. 68258-85-5).","Asahi Glass Co., Ltd. AGC Chemicals Europe"
1913,"Sep 29, 2018",2018,Tricyclodecanedimethanol (TCDM) (CAS Reg. Nos. 26896-48-0 and 26160-83-8).,The Sherwin-Williams Company
1912,"Sep 21, 2018",2018,Polypropylene (CAS Reg. No. 9003-07-0).,"Idemitsu Kosan Co., Ltd."
1911,"Dec 6, 2018",2018,"An aqueous mixture of peroxyacetic acid (PAA) (CAS Reg. No. 79-21-0), hydrogen peroxide (HP) (CAS Reg. No. 7722-84-1), acetic acid (CAS Reg. No. 64-19-7), 1-hydroxyethane 1,1-diphosphonic acid (HEDP) (CAS Reg. No. 2809-21-4), and optionally, sulfuric acid (CAS Reg. No. 7664-93-9).","Xgenex, LLC"
1910,"Sep 19, 2018",2018,"Ethylene phthalate polymers modified with 1,2,4,5-benzenetetracarboxylic dianhydride (pyromellitic dianhydride (PMDA; CAS Reg. No. 89-32-7)) and 1,3-butadiene, homopolymer, hydroxy-terminated (PBD; CAS Reg. No. 69102-90-5) used in conjunction with cobalt stearate (CAS Reg. No. 13586-84-0).",ProFusion Industries
1907,"Aug 23, 2018",2018,"Dimethyl, methyl vinyl polysiloxane, vinyl group-terminated (CAS Reg. No. 68083-18-1), reaction products with poly(ethylene-co-methyl acrylate) (CAS Reg. No. 25103-74-6).",Dow Silicones Corporation
1903,"Oct 19, 2018",2018,Poly(glycolic acid-co-isophthalic acid-co-trimethylolpropane).,"Syensqo Specialty Polymers USA, LLC"
1902,"Aug 8, 2018",2018,2-hydroxyethyl methacrylate (HEMA; CAS Reg. No. 868-77-9).,"PPG Industries, Inc."
1901,"Jul 31, 2018",2018,"Copolymer of adipic acid, dimethylolpropionic acid, ethylene glycol, isophthalic acid, neopentyl glycol, sebacic acid, and terephthalic acid (CAS Reg. No. 725725-21-3), cross-linked with hexamethylene diisocyanate homopolymer (CAS Reg. No. 28182-81-2).","Toyobo Co., Ltd."
1900,"Jul 27, 2018",2018,Zinc pyrithione (CAS Reg No. 13463-41-7).,Thor GmbH
1898,"Jul 24, 2018",2018,"1,4-Cyclohexanedimethanol (CAS Reg. No. 105-08-8).","SK Chemicals Co., Ltd."
1897,,,REPLACED BY FCN 2274,
1896,,,REPLACED BY FCN 1997,
1895,"Jul 24, 2018",2018,"Dodecanedioic acid, polymer with 4,4'-methylenebis[cyclohexanamine] (CAS Reg. No. 25038-97-5).","Evonik Resource Efficiency GmbH Evonik Degussa GmbH Evonik Specialty Chemicals (Shanghai) Co., Ltd."
1893,"Jul 17, 2018",2018,"Copolymers of ethyl methacrylate (CAS Reg. No. 97-63-2), acrylonitrile (CAS Reg. No. 107-13-1), and acrylic acid (CAS Reg. No. 79-10-7) containing up to 7.1 weight percent acrylic acid.","PPG Industries, Inc."
1892,"Jul 13, 2018",2018,"1,3,5-trioxane, polymer with 1,3-dioxolane (CAS Reg. No. 24969-26-4).",BASF SE and affiliated companies
1891,"Jul 12, 2018",2018,"2-2'-[1,3-Phenylenebis(methylene)]bis[2,3-dihydro-1H-isoindol-1-one] (CAS Reg. No. 935739-41-6), also known as m -Xylylenediamine-bis(phthalamide) (MXBI), used in conjunction with cobalt neodecanoate (CAS Reg. No. 27253-31-2).","Silgan Holdings, Inc."
1889,"Jul 5, 2018",2018,"N,N,N',N'-tetrakis(2-hydroxypropyl)adipamide (CAS Reg. No. 57843-53-5). REPLACES FCN 1794",The Dow Chemical Company
1888,"Aug 30, 2018",2018,"An aqueous mixture of peroxyacetic acid (CAS Reg. No.79-21- 0), hydrogen peroxide (CAS Reg. No.7722-84-1), acetic acid (CAS Reg. No. 64-19-17), 1-hydroxyethylidine-1,1-diphosphonic acid (HEDP; CAS Reg. No. 2809-21-4), and optionally sulfuric acid (CAS Reg. No. 7664-93-9).",Evonik Corporation
1887,"Jul 3, 2018",2018,Microfibrillated cellulose pulp (CAS Reg. No. 65996-61-4).,FIBERLEAN TECHNOLOGIES LIMITED Omya AG
1886,"Sep 27, 2018",2018,"An aqueous mixture containing peroxyacetic acid (PAA; CAS Reg. No. 79-21-0), hydrogen peroxide (HP; CAS Reg. No. 7722-84-1), acetic acid (CAS Reg. No. 64-19-7), 1-hydroxyethylidene-1,1-diphosphonic acid (HEDP; CAS Reg. No. 2809-21-4), dipicolinic acid (DPA; CAS Reg. No. 499-83-2), and, optionally, sulfuric acid (CAS Reg. No. 7664-93-9).",Diversey Inc.
1884,"Jun 28, 2018",2018,"2,5-Furandione, polymer with 1-propene (CAS Reg. No 25722-45-6).",The Dow Chemical Company
1880,"Jun 12, 2018",2018,"1,3-Benzenedicarboxamide, N,N'-bis(2,2,6,6-tetramethyl-4-piperidinyl) (CAS Reg. No. 42774-15-2).",Clariant Corporation USA Inc.
1879,"Jun 12, 2018",2018,Mixed esters of C5-C12 fatty acids with dipentaerythritol and/or pentaerythritol.,LANXESS Corporation
1878,,,REPLACED BY FCN 2238,
1876,"Jul 25, 2018",2018,Fluorphlogopite-based pearlescent pigments,Eckart GmbH Altana AG
1872,,,REPLACED BY FCN 2274,
1867,,,REPLACED BY FCN 1986,
